Sector,StockClass,BW_kg,LWG_kg_day
Beef,Steers R1,44.944970181799505,0.6647739222960877
Beef,Heifers R1,40.45047316361955,0.3678491683544568
Beef,Bulls R1,44.944970181799505,0.6361591234214432
Dairy,Dairy Heifers R1,43.995092930999995,0.5995677144878242
Dairy,Dairy Bulls R1,48.88343659,0.608028434823433
Deer,Hinds R1,12.807495615056563,0.17601215732906653
Deer,Stags R1,14.230550683396183,0.11903857616186607
Sheep,Lambs,5.803773062625,0.20471504906232516
